"y" "Ntrials" "wildfire" "logging" "lichwood" "openlich" "deciduous" "water" "wetland" "meanelev" "node_matern" "node_CAR"
0 100 2.699 11.322 1.47 2.2 14.258 4.808 1.145 580.82 1401 81
1 100 1.268 0 9.124 8.853 20.357 5.595 1.997 543.165 1402 82
7 100 0.046 0 7.366 3.042 10.054 8.23 2.192 529.305 1403 83
5 100 0.515 0 12.555 6.019 8.544 9.77 2.764 529.432 1404 84
5 100 0.021 0 14.662 11.282 5.061 13.452 8.15 506.454 1405 85
0 100 0 0 14.769 5.075 0.677 16.544 23.073 497.333 1406 86
1 100 0.502 0 14.913 15.74 3.585 9.991 16.27 514.116 1407 87
2 100 1.225 0 0.916 0.027 0.885 23.518 2.099 568.28 1408 88
8 100 0.418 0 2.755 1.327 0.017 23.87 5.086 548.873 1409 89
3 90 7.47 0 6.772 7.813 2.906 3.833 7.804 550.706 1410 90
0 10 0.291 23.43 0 0 29.531 13.535 0.505 404.906 1337 91
0 98 0 40.655 0 0 14.32 11.596 1.745 402.566 1338 92
0 100 0 45.908 0 0 15.691 3.969 2.529 482.107 1339 93
0 100 0.108 54.804 0 0 13.59 7.424 2.371 472.942 1340 94
0 79 0 82.492 0 0 2.104 6.621 1.247 495.368 1341 95
0 58 2.259 64.606 0 0.151 2.753 13.287 1.097 430.217 1342 96
0 94 4.553 34.52 0 0 9.685 8.472 2.801 416.312 1343 97
0 100 41.571 30.805 0 0 3.267 5.994 5.255 419.213 1344 98
0 100 6.826 46.737 0 0 5.797 1.929 1.472 421.512 1345 99
0 100 6.342 36.582 0.44 0.634 4.72 14.532 1.061 423.962 1346 100
0 100 0.18 56.395 0.588 1.163 5.499 6.71 1.218 424.713 1347 101
0 100 0.157 63.354 1.107 1.16 5.922 4.139 2.248 466.754 1348 102
0 100 0.624 54.301 0.808 0.667 9.891 4.134 1.336 536.612 1349 103
0 100 0 27.526 0.313 0.244 4.005 2.631 1.847 635.617 1350 104
0 100 0.324 0 6.277 11.799 3.331 5.284 5.436 625.524 1351 105
1 100 0 0 5.421 4.747 11.417 8.428 5.09 585.494 1352 106
0 100 0.184 0 10.093 5.392 11.247 17.516 6.072 535.394 1353 107
5 100 0.205 0 18.271 12.789 8.754 9.552 14.504 503.19 1354 108
8 100 0.405 0 18.78 4.643 1.594 18.978 8.479 503.464 1355 109
0 100 0.516 0 12.408 9.834 4.271 26.144 6.678 520.292 1356 110
2 100 0.448 0 6.687 3.465 1.592 29.202 2.441 555.614 1357 111
4 100 0 0 1.647 0.191 1.36 6.319 3.217 654.926 1358 112
7 100 0 0 5.198 2.262 1.664 7.682 3.428 639.27 1359 113
1 34 0.148 0 10.268 3.169 0.611 3.021 1.646 665.438 1360 114
0 68 0 31.36 0 0 13.639 13.734 2.668 384.165 1287 115
0 100 0.041 34.028 0 0 28.548 4.996 3.198 448.098 1288 116
0 100 0.049 34.063 0 0 25.521 7.835 4.293 479.597 1289 117
0 100 0 38.994 0 0 18.035 24.099 2.03 491.509 1290 118
0 100 0 52.4 0 0 1.625 29.573 1.182 446.8 1291 119
