"y" "Ntrials" "wildfire" "logging" "lichwood" "openlich" "deciduous" "water" "wetland" "meanelev" "node_matern" "node_CAR"
0 100 1.443 50.764 1.329 0.517 1.011 10.683 2.076 553.676 847 362
0 100 0 46.968 0.275 0.165 6.686 6.5 2.703 563.684 848 363
0 100 0 6.442 2.276 0.55 12.035 3.265 3.939 444.521 849 364
0 100 2.092 5.23 1.178 0 8.563 20.039 0.905 410.965 850 365
0 100 0 0.339 0.482 0.072 2.202 20.399 0.471 440.414 851 366
0 100 0 0.605 0 0 2.388 18.429 1.695 471.678 852 367
0 100 0 0.097 0 0 0.264 8.193 1.004 516.707 853 368
0 100 0 0 2.68 0.921 3.555 4.591 1.15 600.456 854 369
0 100 0 0.146 8.626 0.43 5.183 6.467 3.92 502.269 855 370
0 95 0.412 0.053 1.388 0.384 1.897 59.953 0.721 371.482 856 371
0 21 0 0 0 0.042 1.342 88.026 0.375 351.382 857 372
0 22 2.128 51.197 0 0 2.424 6.419 1.974 505.32 781 373
0 63 16.883 29.138 0.253 0 13.182 5.468 2.462 459.662 782 374
0 98 37.736 7.342 0 0 20.082 5.004 1.005 367.806 783 375
0 100 67.222 0 0 0 0.012 7.264 1.172 480.638 784 376
0 100 63.114 0 0 0 0.282 14.147 2.083 485.723 785 377
0 100 50.528 2.232 0 0 0.442 16.849 3.22 485.142 786 378
0 100 0.626 25.551 0.447 0 2.563 11.132 1.478 462.214 787 379
1 100 0.458 38.899 0.073 0.088 1.234 9.929 2.344 467.913 788 380
0 100 3.38 15.656 0.124 0.005 15.585 12.705 1.509 419.453 789 381
0 100 0.611 0 0 0.041 30.335 28.445 1.586 422.757 790 382
0 85 0.137 0.456 0 0.153 15.337 67.53 0.074 366.703 791 383
0 96 1.041 1.997 0.815 0.235 14.297 26.106 1.372 419.622 792 384
0 100 0 0.689 1.211 8.69 3.955 16.355 1.193 446.232 793 385
0 100 0.004 0.307 0.531 2.974 1.839 8.567 1.612 519.789 794 386
0 100 0 6.926 0.053 0.317 0 7.574 4.604 580.18 795 387
0 100 0 20.221 0.031 1.253 0.742 9.07 4.213 510.101 796 388
0 100 0 21.81 1.096 1.131 5.937 5.888 1.571 427.677 797 389
0 100 0 2.408 4.459 1.279 5.804 8.544 1.697 346.516 798 390
0 100 0.866 0.198 2.022 0.785 12.458 7.209 1.904 379.93 799 391
0 100 0 0 0.218 0 5.071 10.779 2.107 458.359 800 392
1 100 0.113 0 1.056 0.067 0 39.927 2.25 418.593 801 393
0 100 0 0 0.758 0.05 0 5.969 2.731 628.96 802 394
0 100 0 0 0 0 0 8.621 2.023 730.635 803 395
1 100 0 0 0 0 0.727 7.876 1.266 696.454 804 396
0 100 0 0 0.489 0.998 4.296 5.69 1.191 536.24 805 397
0 50 0 0.078 3.82 2.959 2.706 5.111 4.115 480.425 806 398
1 68 2.939 27.007 0 0.076 3.053 3.159 3.369 463.669 730 399
0 100 1.28 57.091 0 0 0.802 4.881 2.478 467.661 731 400
0 100 18.23 19.979 0 0 12.193 22.886 0.572 314.367 732 401
0 100 66.477 0 0 0 0 7.672 1.732 427.201 733 402
0 100 62.648 0 0 0 0.027 11.106 2.812 444.385 734 403
0 100 60.871 11.257 0 0 0.435 9.191 1.673 438.955 735 404
1 100 13.844 21.31 0 0.16 0.741 12.512 0.969 443.901 736 405
0 100 0 62.542 0 0 0.338 7.17 0.823 437.105 737 406
0 72 0.604 33.917 0 0.079 15.773 19.581 1.508 439.002 738 407
0 29 4.14 10.862 0 0.267 12.167 42.719 1.189 390.941 739 408
0 61 0.03 47.213 0 0.025 4.29 25.09 1.985 432.104 741 409
0 100 0.037 10.354 0.461 5.915 2.485 21.231 1.068 415.939 742 410
0 100 0.198 0.26 0 9.225 3.629 7.43 1.217 446.358 743 411
0 100 0.042 29.36 0.12 3.267 1.064 3.139 1.988 488.771 744 412
0 100 0.527 65.19 0 0.816 5.685 10.011 2.292 407.553 745 413
0 100 0 13.02 0.626 1.424 5.169 20.387 1.616 301.038 746 414
0 100 0 0 3.044 2.124 2.871 7.771 2.578 362.683 747 415
0 100 0.13 0 3.972 3.532 9.209 17.036 2.221 419.944 748 416
0 100 6.23 0 4.917 3.812 7.029 3.756 1.899 451.24 749 417
1 100 0.199 0 2.28 0 4.627 3.243 2.392 608.866 750 418
0 100 0.062 0 0 0 0.1 4.697 3.587 690.476 751 419
0 98 0 0 0 0 1.229 8.984 1.615 626.87 752 420
0 65 0 0 0 0 0.084 5.651 1.65 673.895 753 421
0 20 0 0 0 0 0.045 12.088 1.091 648.749 754 422
0 25 0 6.803 0 0 11.536 9.659 1.76 396.443 679 423
0 100 0 35.73 0 0 16.311 11.294 0.6 324.625 680 424
0 100 41.773 8.84 0 0 16.124 13.24 0.713 312.538 681 425
0 100 69.216 14.261 0 0 0.894 6.42 0.852 342.285 682 426
0 100 77.799 5.8 0 0 0.019 6.744 1.767 376.727 683 427
0 96 57.328 15.645 0 0.229 0.124 9.777 1.043 381.581 684 428
0 59 36.722 38.315 0 0 0 5.735 1.306 413.261 685 429
0 16 3.339 43.462 0 0.135 7.885 8.396 0.294 377.826 686 430
0 17 0.151 46.753 0 0.048 5.699 24.921 0.836 378.117 690 431
0 100 0 11.606 0 1.739 10.138 36.921 0.358 279.381 691 432
0 100 0.073 5.384 0 3.89 1.911 39.971 0.654 339.141 692 433
0 100 0.242 24.28 0 0.995 0.855 22.033 1.006 358.742 693 434
0 100 0.258 7.503 0 1.297 6.323 26.327 0.444 357.011 694 435
0 100 0 1.295 0.365 0 25.193 3.677 2.311 443.695 695 436
0 100 0 0 1.352 0 5.477 11.057 2.102 441.044 696 437
0 100 0 0 4.242 4.688 3.585 4.029 1.758 419.52 697 438
0 100 0.945 0 12.077 7.055 14.296 5.236 3.332 472.072 698 439
0 94 0 0 2.203 0.259 12.854 9.691 1.311 566.739 699 440
0 55 0 0 0.751 0.027 9.673 6.802 1.695 577.062 700 441
0 12 0 0 0 0 2.053 4.173 1.488 667.692 701 442
0 82 0.038 51.346 0 0.853 16.27 9.503 0.991 349.515 629 443
0 100 48.431 8.853 0 0 15.7 5.211 0.673 262.972 630 444
0 88 67.669 20.96 0 0 0 4.962 0.991 350.691 631 445
0 46 49.09 38.619 0 0 0 7.736 1.231 364.101 632 446
1 72 0.029 15.211 0 3.552 1.35 12.493 0.874 416.904 640 447
1 100 0 13.48 0 3.539 0.744 21.973 1.225 423.125 641 448
0 100 0 20.434 0.882 0.81 0 18.296 1.504 429.332 642 449
0 100 0 5.75 2.078 0.634 1.32 12.947 1.369 424.864 643 450
0 100 0 0 1.51 1.605 12.392 10.08 1.615 471.792 644 451
0 100 0 0 5.637 0.161 4.701 20.08 1.76 458.958 645 452
0 88 0 0 8.034 3.495 8.649 9.6 2.129 474.994 646 453
0 44 0 0.071 7.772 0.208 9.249 7.497 1.706 508.373 647 454
0 29 0.12 36.774 0 2.727 22.042 5.043 1.17 238.696 578 455
0 32 56.214 9.368 0 0 12.064 4.452 1.377 257.699 579 456
0 28 0 35.991 0.012 1.339 4.592 6.458 0.947 406.756 589 457
0 100 0 15.794 0 2.816 0.559 8.078 1.441 487.639 590 458
0 100 0 1.436 0 0.405 0.008 6.304 3.417 546.373 591 459
0 100 0 0 0.086 0.043 0.301 11.49 1.526 525.998 592 460
1 80 0 0.05 0.83 0.43 0.918 14.948 1.889 527.521 593 461
0 34 0 0 1.11 0.038 3.939 7.957 1.321 528.311 594 462
0 83 0.14 40.663 0.576 0.137 4.977 10.549 1.481 448.63 539 463
0 69 0 0.067 0.152 0.381 8.728 5.544 1.658 441.888 540 464
0 24 0 6.586 0 0 0.769 8.967 1.033 511.5 541 465
